.	'-	Read and discard the next 62 characters. This is used in blocks to provide line width comments.	. Text to ignore\n	This is intended for use in blocks. If placed as the first word on a line, it will ignore the rest of the line.\n\nAs Konilo does not track line lengths during evaluation, this can not be used to comment out the end of a line, only a full line.\n	(\n
0	'-	Parse to end of line. Insert into text line 0	0 text for the top line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	1 2 3 4 5 6 7 8 9 10 11 12 13 14 15\n
1	'-	Parse to end of line. Insert into text line 1	1 text for the second line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 2 3 4 5 6 7 8 9 10 11 12 13 14 15\n
2	'-	Parse to end of line. Insert into text line 2	2 text for the third line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 3 4 5 6 7 8 9 10 11 12 13 14 15\n
3	'-	Parse to end of line. Insert into text line 3	3 text for the fourth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 4 5 6 7 8 9 10 11 12 13 14 15\n
4	'-	Parse to end of line. Insert into text line 4	4 text for the fifth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 5 6 7 8 9 10 11 12 13 14 15\n
5	'-	Parse to end of line. Insert into text line 5	5 text for the sixth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 6 7 8 9 10 11 12 13 14 15\n
6	'-	Parse to end of line. Insert into text line 6	6 text for the seventh line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 7 8 9 10 11 12 13 14 15\n
7	'-	Parse to end of line. Insert into text line 7	7 text for the eighth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 8 9 10 11 12 13 14 15\n
8	'-	Parse to end of line. Insert into text line 8	8 text for the nineth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 9 10 11 12 13 14 15\n
9	'-	Parse to end of line. Insert into text line 9	9 text for the tenth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 10 11 12 13 14 15\n
10	'-	Parse to end of line. Insert into text line 10	10 text for the eleventh line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 11 12 13 14 15\n
11	'-	Parse to end of line. Insert into text line 11	11 text for the twelveth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 10 12 13 14 15\n
12	'-	Parse to end of line. Insert into text line 12	12 text for the thirteenth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 10 11 13 14 15\n
13	'-	Parse to end of line. Insert into text line 13	13 text for the fourteenth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 10 11 12 14 15\n
14	'-	Parse to end of line. Insert into text line 14	14 text for the fifteenth line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 10 11 12 13 15\n
15	'-	Parse to end of line. Insert into text line 15	15 text for the last line\n	The provided text will replace all text on the line.\n\nThis is one of a very few parsing words.\n	0 1 2 3 4 5 6 7 8 9 10 11 12 13 14\n
{{	-	Begin a lexical scoped area. Starts the private portion.	{{\n  'a var\n  :set &a store ;\n  :bump @a n:inc !a ;\n---reveal---\n  :foo (n-) set bump @n n:put nl\n}}\n	Scoping is lexical. This works by unlinking the dictionary headers in between the {{ and ---reveal--- from the dictionary.\n	---reveal--- }}\n
---reveal---	-	Within  lexical scoped area, switch to global scope area.	{{\n  'a var\n  :set &a store ;\n  :bump @a n:inc !a ;\n---reveal---\n  :foo (n-) set bump @n n:put nl\n}}\n	Scoping is lexical. This works by unlinking the dictionary headers in between the {{ and ---reveal--- from the dictionary.\n	{{ }}\n
}}	-	Close off lexical scoped area. Hides words in the private area.	{{\n  'a var\n  :set &a store ;\n  :bump @a n:inc !a ;\n---reveal---\n  :foo (n-) set bump @n n:put nl\n}}\n	Scoping is lexical. This works by unlinking the dictionary headers in between the {{ and ---reveal--- from the dictionary.\n	{{ ---reveal---\n
)	-	Ending for comments or visual grouping. Provided for readability purposes	( #2 #2 n:add )\n	This is provided as a readability aid. Since comments (made by the `(` sigil) are ignored, you can use this to help visually group phrases in your code.\n	sigil:(\n
-eq?	nn-f	Compare values for inequality	#100 #45 -eq?\n		eq? lt? gt? lteq? gteq?\n
-if	fp-	Execute p if flag is zero	#6 #100 eq? [ 'condition_not_met! s:put nl ] -if\n#100 #100 eq? [ 'condition_not_met! s:put nl ] -if\n		choose if\n
;	-	End a definition	:foo (-) ;\n		Compiler sigil::\n
?jump	fp-	Internal. If flag is non-zero, branch to p.	(used_internally)\n		
BaseBlock	-	Data. Holds the number of the first block.	#10 !BaseBlock\n	This variable holds a block number that is treated as the starting block. It can be used to achieve a paritioning of the blocks. For instance, you might have code in physical blocks 500-800, and data in blocks 0-499. You could set `BaseBlock` to 500, and `Blocks` to 300 to prevent words like `needs` from accessing the data blocks during a search.\n	Block Blocks\n
Block	-	Data. Holds the current block number, relative to the value in BaseBlock.	@Block n:put\n	This variable holds the block number to be used for `load` and `save`. The value is constrained by the editor to keep in range of 0 through the value in `Blocks`.\n	Blocks BaseBlock\n
Blocks	-	Data. Set to the number of blocks available in your system.	@Blocks n:put\n	This variable holds the number of blocks available. You will need to set this to match your local environment.\n	Block BaseBlock\n
Compiler	-	Data. Tracks compiler state	:compiling?\n  @Compiler [ 'Compiler_active ] [ 'Interpreting ] choose\n  s:put nl ; #-1 @Dictionary d:flags store\n\ncompiling?\n[ compiling? ] drop\n	The `Compiler` state is changed by `[`, `sigil::`, `]`, and `;`. For checking state, `compiling?` is provided.\n	compiling? sigil:: ;\n
Dictionary	-	Data. Pointer to most recent header in dictionary	(Get_address_of_most_recent_word)\n@Dictionary d:address fetch n:put\n		d:create sigil:: d:for-each\n
Free	-	Data. Pointer to next free addr	(Display_next_free_memory_address)\n@Free n:put\n	The `Free` variable holds a pointer to the next free memory address. You can check this value by calling `here`. Various words will consume memory. The main ones are `comma` and `allot`. Dictionary headers as well as some array and string words will also consume memory at `here`.\n	here allot gc\n
I	-n	Access the loop index for the current loop. (For loops made using indexed-times)	#10 [ I n:put ] indexed-times\n		J K indexed-times\n
J	-n	Access the parent loop index for the current loop. (For loops made using indexed-times)	:inner [ I n:put $, c:put J n:put sp ] ;\n#10 [ #5 inner indexed-times ] indexed-times\n		I K indexed-times\n
K	-n	Access the grandparent loop index for the current loop. (For loops made using indexed-times)	:inner [ I n:put $, c:put J n:put $, c:put K n:put sp ] ;\n:outer #3 inner indexed-times ;\n#10 [ #5 &outer indexed-times ] indexed-times\n		I J indexed-times\n
Sigils	-	Data. Table of sigil handlers	(get_pointer_to_sigil_table)\n\n&Sigils\n	Sigils is a table holding up to 128 (the lower 7-bit ASCII space) pointers to sigil handlers. Unused sigils have the matching entries here set to zero.\n	
[	-p	Begin a quotation	[ #45 n:put ] call\n	Quotations are anonymous, nestable functions. Konilo uses `[` to begin one.\n	]\n
